,deposit
3296,1
4489,0
2874,1
1514,1
7395,0
1451,1
2020,1
4125,0
4151,0
3973,0
838,1
8424,0
7783,0
6379,0
6081,0
3688,1
6615,0
450,1
3884,0
1714,1
5513,0
4233,0
339,1
3322,1
6601,0
1419,1
34,1
6540,0
2523,1
3942,0
1410,1
3127,1
4013,0
7771,0
889,1
7779,0
2534,1
5270,0
8385,0
7889,0
7138,0
432,1
3358,1
3375,1
3210,1
8457,0
6574,0
6628,0
1886,1
2554,1
1786,1
6127,0
2882,1
2181,1
6920,0
5128,0
2069,1
5471,0
3100,1
880,1
3139,1
5469,0
2577,1
5500,0
8069,0
7170,0
2283,1
1706,1
1158,1
8434,0
6883,0
7382,0
8097,0
5605,0
4471,0
5838,0
2317,1
7873,0
3909,0
1782,1
7790,0
6605,0
3768,1
904,1
8209,0
3320,1
6599,0
4046,0
2080,1
1565,1
4309,0
8137,0
2826,1
3066,1
5360,0
1113,1
2498,1
5154,0
4709,0
5046,0
254,1
4372,0
7681,0
2641,1
2913,1
5169,0
5719,0
2354,1
303,1
8186,0
3984,0
5809,0
1436,1
2858,1
5982,0
376,1
1869,1
5476,0
3529,1
7890,0
1658,1
755,1
5190,0
3950,0
290,1
7394,0
2750,1
2118,1
5830,0
5027,0
501,1
6334,0
6281,0
5814,0
1539,1
4428,0
4012,0
6769,0
672,1
5739,0
4625,0
8335,0
4353,0
4606,0
6836,0
1464,1
3317,1
6872,0
1192,1
6416,0
2264,1
421,1
505,1
5828,0
1582,1
506,1
4828,0
2471,1
6637,0
2126,1
6621,0
3032,1
2333,1
8150,0
347,1
7730,0
3121,1
7654,0
6765,0
8199,0
312,1
746,1
5129,0
2024,1
7030,0
4184,0
6723,0
6363,0
5785,0
5111,0
259,1
6620,0
7422,0
380,1
6751,0
3043,1
1912,1
7340,0
599,1
45,1
1444,1
1652,1
7080,0
1893,1
3470,1
4793,0
8294,0
5928,0
1966,1
2375,1
5137,0
6860,0
5544,0
1600,1
7271,0
3614,1
4011,0
7762,0
3393,1
2685,1
426,1
410,1
7323,0
7542,0
3365,1
7171,0
3217,1
210,1
6931,0
3016,1
5220,0
5206,0
1049,1
4412,0
7283,0
4773,0
3428,1
1972,1
8238,0
5072,0
1499,1
1109,1
4829,0
6492,0
652,1
4376,0
7436,0
1795,1
1702,1
3166,1
5021,0
4607,0
1498,1
4928,0
6460,0
2178,1
8394,0
6975,0
7303,0
4246,0
705,1
1872,1
7106,0
3044,1
3442,1
4332,0
7743,0
5335,0
3777,1
6525,0
565,1
5547,0
2751,1
2586,1
640,1
6968,0
6060,0
5987,0
6926,0
1964,1
5804,0
3378,1
325,1
5652,0
2338,1
6870,0
3268,1
4087,0
2237,1
5799,0
6505,0
7708,0
8207,0
3400,1
2851,1
864,1
4222,0
7413,0
2860,1
4253,0
7820,0
371,1
3916,0
8179,0
7690,0
6918,0
7703,0
7946,0
4903,0
8308,0
5630,0
1360,1
911,1
3621,1
5389,0
4701,0
6056,0
3315,1
964,1
1423,1
122,1
479,1
662,1
7799,0
7342,0
2592,1
5709,0
7620,0
439,1
1379,1
3855,0
1443,1
4791,0
3312,1
1477,1
7381,0
1173,1
4953,0
3685,1
4529,0
3123,1
4586,0
3684,1
279,1
5595,0
4848,0
5058,0
1101,1
568,1
1694,1
2537,1
3017,1
8270,0
7502,0
2540,1
577,1
59,1
787,1
3977,0
7844,0
8202,0
7317,0
2670,1
5454,0
2753,1
2868,1
4228,0
2988,1
8038,0
6419,0
7123,0
3245,1
7428,0
184,1
4099,0
4762,0
420,1
7763,0
553,1
1397,1
7830,0
3520,1
4556,0
1760,1
7508,0
297,1
443,1
777,1
1119,1
3172,1
6954,0
1921,1
655,1
2229,1
7292,0
6063,0
3898,0
5379,0
2457,1
6795,0
2754,1
7017,0
5914,0
558,1
7370,0
1371,1
907,1
4292,0
1433,1
6978,0
4824,0
3142,1
6539,0
6289,0
926,1
3816,0
2470,1
15,1
7922,0
6566,0
2363,1
4706,0
6251,0
1161,1
8105,0
4647,0
3409,1
2755,1
3382,1
2579,1
1362,1
5957,0
1212,1
1876,1
6444,0
2859,1
4291,0
7810,0
4423,0
3653,1
1170,1
579,1
2182,1
3405,1
7605,0
1833,1
6458,0
1859,1
2995,1
6075,0
4591,0
2999,1
7181,0
387,1
8247,0
1032,1
7796,0
2488,1
7544,0
3047,1
2820,1
2718,1
931,1
3105,1
691,1
3578,1
1891,1
2268,1
6726,0
3392,1
6964,0
7316,0
7402,0
44,1
6580,0
3002,1
7719,0
4053,0
5440,0
6802,0
7453,0
1683,1
6549,0
3708,1
6209,0
63,1
617,1
4490,0
5586,0
227,1
6531,0
5492,0
7359,0
7633,0
969,1
1805,1
2447,1
3399,1
4559,0
4649,0
7076,0
3202,1
7189,0
1860,1
4427,0
5617,0
6756,0
6058,0
252,1
7097,0
5685,0
1789,1
7236,0
2059,1
4604,0
2825,1
5226,0
1902,1
2119,1
6475,0
3949,0
3288,1
3473,1
4162,0
4989,0
75,1
2345,1
2351,1
5912,0
430,1
6479,0
3995,0
4194,0
5672,0
6814,0
5621,0
8221,0
5964,0
6993,0
5499,0
240,1
783,1
1354,1
5826,0
977,1
809,1
2168,1
6666,0
1599,1
4275,0
6061,0
6784,0
5482,0
1620,1
3350,1
1482,1
2146,1
1801,1
2095,1
4374,0
1357,1
5793,0
7207,0
5117,0
4379,0
3487,1
3801,0
3094,1
4165,0
6555,0
3891,0
3161,1
7624,0
2328,1
29,1
5121,0
6687,0
1092,1
124,1
4634,0
6409,0
3589,1
5359,0
2298,1
5581,0
1553,1
7934,0
598,1
6720,0
1416,1
6391,0
4525,0
7752,0
7388,0
2197,1
6516,0
4936,0
725,1
3080,1
8136,0
808,1
6001,0
958,1
5283,0
3887,0
810,1
834,1
7848,0
2423,1
4631,0
3050,1
1235,1
1225,1
7156,0
8304,0
3574,1
8486,0
3422,1
5362,0
3467,1
6214,0
3880,0
6025,0
1657,1
7461,0
7443,0
452,1
5769,0
5112,0
5680,0
2619,1
422,1
1220,1
3617,1
4927,0
8168,0
6962,0
102,1
2418,1
5377,0
7699,0
3761,1
1580,1
8258,0
2206,1
170,1
6487,0
135,1
7210,0
4938,0
1310,1
7875,0
2284,1
7016,0
7917,0
6088,0
5012,0
1935,1
3060,1
4918,0
3238,1
807,1
2045,1
3370,1
462,1
1956,1
2445,1
4224,0
799,1
2402,1
7958,0
1073,1
8444,0
144,1
5905,0
1340,1
3290,1
3742,1
2091,1
5446,0
7839,0
5557,0
4894,0
5210,0
3352,1
5248,0
7088,0
1003,1
4961,0
5227,0
7753,0
555,1
3113,1
7374,0
1485,1
6268,0
1272,1
4267,0
1411,1
7720,0
8003,0
1471,1
4418,0
7244,0
3979,0
5192,0
6977,0
6021,0
4250,0
7504,0
981,1
7429,0
3886,0
2722,1
7724,0
1268,1
2462,1
4622,0
268,1
654,1
3091,1
8070,0
3362,1
5371,0
2821,1
4965,0
589,1
495,1
3231,1
3704,1
4801,0
4397,0
5508,0
5635,0
3794,0
1808,1
4290,0
7533,0
3505,1
2028,1
4913,0
677,1
6356,0
6225,0
4003,0
3693,1
7618,0
4535,0
7590,0
2432,1
4560,0
4411,0
551,1
6820,0
4296,0
3418,1
1611,1
7180,0
7435,0
3039,1
6440,0
7603,0
3128,1
4541,0
4335,0
7564,0
605,1
3739,1
4393,0
1468,1
6468,0
8175,0
4280,0
890,1
7756,0
5395,0
843,1
2155,1
5531,0
8300,0
2077,1
4995,0
5722,0
7069,0
4195,0
2799,1
6811,0
584,1
4860,0
7233,0
4862,0
3328,1
6318,0
6793,0
5602,0
3941,0
4474,0
2941,1
4630,0
8327,0
2550,1
6182,0
344,1
7175,0
5071,0
6115,0
8212,0
871,1
4067,0
6792,0
4355,0
4771,0
90,1
4301,0
5153,0
5434,0
8264,0
5687,0
2117,1
2937,1
4641,0
8373,0
2836,1
5014,0
3593,1
947,1
2925,1
3686,1
3790,0
4645,0
883,1
5070,0
4442,0
5076,0
3396,1
3817,0
8031,0
6480,0
5861,0
6062,0
5845,0
6284,0
6430,0
2415,1
4231,0
6656,0
3908,0
5894,0
7898,0
2899,1
6537,0
2398,1
2209,1
1710,1
104,1
5148,0
1186,1
4331,0
8315,0
6309,0
6678,0
8399,0
151,1
915,1
1305,1
3377,1
3767,1
5787,0
7972,0
7664,0
5155,0
6128,0
7285,0
2796,1
8185,0
1398,1
2519,1
183,1
6791,0
366,1
6033,0
4284,0
7894,0
2417,1
471,1
967,1
5852,0
7666,0
2656,1
6069,0
209,1
1961,1
896,1
6654,0
4967,0
5357,0
1773,1
4608,0
2299,1
1209,1
4689,0
4990,0
8471,0
1270,1
1251,1
4273,0
5963,0
3806,0
5278,0
4633,0
292,1
3837,0
1051,1
4509,0
3918,0
272,1
2042,1
4640,0
7904,0
5096,0
6818,0
1086,1
4169,0
5316,0
2903,1
4812,0
6286,0
3244,1
5004,0
5573,0
5909,0
5404,0
3527,1
4950,0
6589,0
613,1
7437,0
4302,0
4032,0
4886,0
7568,0
1748,1
7896,0
6715,0
3784,0
3096,1
6151,0
2910,1
2662,1
4685,0
6917,0
2154,1
1344,1
8347,0
7733,0
7274,0
4680,0
952,1
7846,0
5277,0
1504,1
4842,0
1806,1
3668,1
1121,1
7131,0
7970,0
5271,0
4252,0
4328,0
3721,1
5229,0
5702,0
6705,0
416,1
2973,1
5184,0
2431,1
3459,1
564,1
2526,1
3966,0
1224,1
142,1
4342,0
1490,1
6808,0
3260,1
3463,1
8461,0
6285,0
2653,1
2004,1
1194,1
7199,0
6013,0
5369,0
1756,1
497,1
7640,0
4863,0
870,1
912,1
721,1
3204,1
8446,0
6388,0
7393,0
1496,1
4001,0
1520,1
5603,0
2746,1
4085,0
314,1
4039,0
7644,0
108,1
1754,1
6156,0
1351,1
3129,1
5247,0
6913,0
480,1
3861,0
1973,1
336,1
2764,1
6424,0
6178,0
5310,0
4055,0
524,1
6871,0
6425,0
5228,0
2809,1
724,1
765,1
7840,0
5944,0
4919,0
307,1
1278,1
348,1
4313,0
6829,0
4030,0
6384,0
7940,0
1791,1
4561,0
4740,0
5808,0
6181,0
2053,1
8325,0
6108,0
71,1
6835,0
2759,1
6157,0
7275,0
5457,0
5972,0
7153,0
5850,0
4386,0
1260,1
1666,1
3540,1
7961,0
4657,0
6000,0
2167,1
1445,1
2533,1
1695,1
2892,1
1095,1
6606,0
6427,0
3203,1
4420,0
1630,1
5368,0
1881,1
4712,0
5885,0
1612,1
978,1
1413,1
6242,0
5517,0
848,1
4852,0
4461,0
7905,0
2877,1
2271,1
2392,1
7195,0
1830,1
3279,1
8037,0
3879,0
47,1
6226,0
4769,0
1350,1
8156,0
5026,0
6663,0
446,1
2248,1
1743,1
844,1
4370,0
8267,0
3404,1
7105,0
2440,1
3103,1
6509,0
678,1
7598,0
7540,0
4923,0
1294,1
3626,1
4343,0
4955,0
8184,0
6280,0
6098,0
1112,1
3303,1
776,1
8250,0
2231,1
2228,1
2153,1
5967,0
5613,0
5059,0
7928,0
5160,0
6248,0
1366,1
1469,1
1851,1
3183,1
1963,1
7444,0
5253,0
3199,1
5314,0
1289,1
485,1
2239,1
8133,0
8169,0
3706,1
4880,0
8453,0
30,1
4401,0
1879,1
6364,0
3518,1
3728,1
4057,0
6270,0
5839,0
5663,0
6003,0
1036,1
636,1
7168,0
5576,0
7780,0
1083,1
2615,1
861,1
7152,0
903,1
191,1
109,1
8318,0
4897,0
3889,0
4333,0
7354,0
7537,0
6504,0
1831,1
4078,0
4937,0
6022,0
782,1
563,1
8227,0
5366,0
2775,1
8326,0
4890,0
8311,0
1825,1
2617,1
6050,0
1094,1
6160,0
3169,1
4651,0
6057,0
5333,0
8422,0
8066,0
7585,0
3411,1
5013,0
1654,1
7173,0
8026,0
2323,1
2413,1
6724,0
2654,1
3592,1
5337,0
5344,0
2678,1
8048,0
6223,0
5708,0
4667,0
7923,0
4092,0
178,1
5391,0
6231,0
1534,1
8224,0
3985,0
3286,1
1204,1
2202,1
4074,0
7174,0
6768,0
4856,0
5736,0
975,1
4191,0
1770,1
829,1
941,1
3781,0
2486,1
627,1
8149,0
5157,0
925,1
3033,1
295,1
1052,1
7071,0
2707,1
3221,1
3833,0
7851,0
4891,0
3413,1
2789,1
944,1
8196,0
7268,0
8188,0
12,1
1117,1
6394,0
3255,1
7047,0
2690,1
2213,1
4325,0
6204,0
5856,0
1319,1
779,1
8393,0
8013,0
3130,1
4189,0
7096,0
433,1
653,1
2477,1
5591,0
4035,0
5106,0
5282,0
6778,0
3639,1
8377,0
4209,0
5394,0
2886,1
3135,1
7070,0
3723,1
6397,0
3541,1
4140,0
6101,0
2904,1
570,1
1448,1
4294,0
4584,0
5054,0
4764,0
3905,0
7211,0
1745,1
2741,1
1590,1
3226,1
8273,0
2236,1
287,1
1738,1
5503,0
8465,0
4094,0
5438,0
5231,0
1923,1
7553,0
2827,1
1684,1
5716,0
1338,1
3262,1
4610,0
2742,1
993,1
7188,0
650,1
7612,0
2902,1
2258,1
5120,0
7965,0
2986,1
7751,0
2121,1
7217,0
3836,0
6828,0
1564,1
6702,0
6576,0
2584,1
8351,0
2185,1
3196,1
708,1
1231,1
5549,0
4102,0
1258,1
2254,1
1951,1
6339,0
8143,0
3504,1
113,1
7431,0
2509,1
7788,0
6432,0
4463,0
7216,0
2548,1
4060,0
507,1
5623,0
4486,0
949,1
4949,0
4127,0
7291,0
5143,0
2850,1
7902,0
4921,0
2300,1
3661,1
350,1
5185,0
2906,1
7149,0
4902,0
2505,1
2620,1
4745,0
1114,1
2846,1
8281,0
298,1
1675,1
3347,1
7050,0
2735,1
4056,0
6691,0
7150,0
5821,0
7086,0
6602,0
1937,1
229,1
76,1
103,1
7997,0
1722,1
5647,0
2103,1
6894,0
6501,0
5353,0
5876,0
5684,0
6084,0
5867,0
1614,1
607,1
7700,0
5170,0
1093,1
4708,0
2622,1
7100,0
8414,0
160,1
203,1
2387,1
4241,0
5040,0
837,1
2934,1
5266,0
4271,0
2435,1
1230,1
6879,0
6608,0
8177,0
1609,1
8194,0
6779,0
5516,0
4952,0
5165,0
4692,0
2732,1
7913,0
4659,0
6741,0
7256,0
5823,0
4514,0
3820,0
5711,0
7289,0
6875,0
4028,0
4467,0
6730,0
657,1
790,1
3844,0
5332,0
7226,0
6167,0
2561,1
2640,1
1359,1
6443,0
6445,0
2347,1
5953,0
3745,1
2781,1
4672,0
8163,0
6669,0
3308,1
6803,0
7649,0
6324,0
615,1
6274,0
2575,1
6710,0
2314,1
3340,1
6515,0
1705,1
6224,0
3869,0
3795,0
7474,0
1780,1
8462,0
6653,0
803,1
857,1
3647,1
4996,0
8383,0
990,1
5901,0
5365,0
4629,0
3513,1
3813,0
6200,0
219,1
6575,0
1288,1
3163,1
582,1
2618,1
3612,1
43,1
1234,1
6186,0
4698,0
3571,1
6357,0
4084,0
7711,0
8349,0
4999,0
3439,1
1892,1
5339,0
7663,0
3272,1
5011,0
7243,0
3480,1
1071,1
718,1
4518,0
2364,1
1505,1
3195,1
670,1
5045,0
2952,1
5900,0
7008,0
7094,0
897,1
4454,0
5896,0
7054,0
2666,1
3550,1
3193,1
2890,1
4738,0
7341,0
1530,1
4515,0
7327,0
5037,0
6995,0
39,1
4204,0
4288,0
4024,0
6695,0
1874,1
2370,1
1769,1
6381,0
220,1
1983,1
531,1
8167,0
6625,0
4450,0
2881,1
81,1
684,1
7133,0
3903,0
2163,1
731,1
3406,1
2339,1
6385,0
2232,1
8439,0
7541,0
2565,1
5559,0
6497,0
5041,0
7596,0
4303,0
8246,0
2705,1
1255,1
2104,1
4722,0
4823,0
4819,0
898,1
428,1
6074,0
6884,0
6864,0
3484,1
7929,0
1222,1
6372,0
4129,0
8033,0
5641,0
3912,0
6631,0
1621,1
7823,0
3164,1
4502,0
8119,0
1096,1
2715,1
2072,1
7910,0
7725,0
6258,0
3870,0
7386,0
5151,0
2588,1
3982,0
3458,1
1788,1
6365,0
3608,1
4407,0
528,1
4464,0
4475,0
192,1
820,1
1126,1
7378,0
5890,0
1030,1
7842,0
304,1
5074,0
1292,1
70,1
7729,0
3353,1
4997,0
2687,1
4029,0
4574,0
4304,0
831,1
6834,0
1456,1
2607,1
5361,0
238,1
92,1
2977,1
8191,0
4557,0
6034,0
4817,0
4827,0
6693,0
7373,0
5525,0
1001,1
4538,0
8305,0
2377,1
4901,0
7426,0
3552,1
7223,0
3360,1
3246,1
5813,0
1532,1
2410,1
5007,0
5321,0
411,1
6302,0
7660,0
146,1
4710,0
2805,1
6824,0
8088,0
5300,0
6459,0
3082,1
3611,1
4857,0
1736,1
7662,0
5642,0
8193,0
7709,0
6690,0
4058,0
633,1
3021,1
498,1
2985,1
2463,1
4925,0
637,1
720,1
6142,0
288,1
757,1
8014,0
4168,0
3089,1
4776,0
5202,0
7348,0
449,1
596,1
7299,0
4392,0
4180,0
1068,1
1942,1
1647,1
494,1
3443,1
5008,0
5775,0
2700,1
7712,0
1700,1
7060,0
8142,0
5199,0
4269,0
2942,1
7184,0
4122,0
2518,1
2123,1
7673,0
86,1
3497,1
2308,1
2677,1
5920,0
5562,0
7296,0
2594,1
4414,0
3058,1
1029,1
136,1
2876,1
4922,0
4119,0
2144,1
7352,0
6921,0
5507,0
3433,1
1200,1
2025,1
621,1
7966,0
3460,1
566,1
8359,0
1837,1
1334,1
4359,0
8274,0
3927,0
2099,1
4362,0
5458,0
8094,0
5766,0
1688,1
4704,0
745,1
6006,0
2330,1
3515,1
2187,1
195,1
1152,1
4076,0
5816,0
802,1
3666,1
5381,0
2350,1
5706,0
4192,0
7931,0
5678,0
2068,1
2907,1
4230,0
7570,0
644,1
7745,0
6584,0
4104,0
4299,0
6253,0
4816,0
120,1
1777,1
2981,1
4678,0
3074,1
7040,0
5239,0
7643,0
3035,1
6237,0
2135,1
6129,0
5354,0
4466,0
134,1
7737,0
4516,0
7565,0
4655,0
3256,1
8171,0
1162,1
2559,1
3733,1
62,1
3937,0
3601,1
5730,0
7619,0
4716,0
1642,1
5168,0
8380,0
2467,1
679,1
4896,0
741,1
1211,1
2170,1
6626,0
3641,1
6005,0
5842,0
2900,1
3258,1
567,1
1873,1
648,1
2596,1
1717,1
7264,0
2843,1
7355,0
1392,1
6598,0
6246,0
5235,0
6366,0
5849,0
4113,0
6442,0
489,1
493,1
690,1
6152,0
3821,0
602,1
1911,1
6045,0
2880,1
6134,0
6227,0
4149,0
3757,1
5382,0
8263,0
2366,1
7462,0
1187,1
274,1
4960,0
8023,0
1361,1
4307,0
1526,1
6126,0
4381,0
337,1
1551,1
330,1
8225,0
1337,1
3901,0
3010,1
945,1
8255,0
2250,1
6897,0
801,1
4851,0
2346,1
68,1
6435,0
6245,0
2784,1
1598,1
4609,0
5164,0
8151,0
1503,1
4813,0
150,1
2804,1
5786,0
2086,1
3751,1
7985,0
2259,1
4017,0
5835,0
8147,0
7448,0
3856,0
859,1
5460,0
7529,0
5265,0
6478,0
6523,0
6155,0
1779,1
4220,0
6272,0
1818,1
5609,0
2704,1
175,1
2093,1
6378,0
3491,1
7023,0
82,1
816,1
5285,0
7009,0
283,1
6889,0
5375,0
6953,0
2915,1
1813,1
1271,1
4264,0
8102,0
6535,0
5286,0
2642,1
5696,0
2305,1
4682,0
3849,0
8364,0
6201,0
7986,0
2414,1
3554,1
2195,1
2600,1
6149,0
3366,1
4367,0
4744,0
2633,1
5883,0
2434,1
8165,0
4868,0
4766,0
3545,1
4295,0
6867,0
517,1
4405,0
4947,0
1415,1
6997,0
127,1
3474,1
5728,0
2438,1
3765,1
4198,0
5643,0
8295,0
1473,1
4982,0
3560,1
3951,0
49,1
6538,0
887,1
7909,0
516,1
3168,1
2949,1
1424,1
139,1
1924,1
2378,1
3197,1
112,1
3250,1
5324,0
7134,0
8265,0
3277,1
5723,0
6740,0
6763,0
6513,0
5307,0
7911,0
6839,0
451,1
3731,1
7081,0
6866,0
2763,1
658,1
5523,0
999,1
389,1
3407,1
1476,1
2240,1
7870,0
7308,0
3922,0
2972,1
3386,1
1293,1
8012,0
2873,1
4173,0
2535,1
7360,0
1907,1
6055,0
368,1
1151,1
8487,0
4593,0
5911,0
4684,0
5407,0
4160,0
7749,0
6661,0
174,1
1903,1
1099,1
5825,0
3408,1
1538,1
2292,1
7623,0
1363,1
7260,0
6569,0
680,1
5502,0
3664,1
1661,1
508,1
166,1
6046,0
1006,1
8055,0
5945,0
3494,1
6037,0
8278,0
2536,1
1104,1
3875,0
5405,0
1752,1
5020,0
2916,1
5790,0
152,1
3907,0
7366,0
2552,1
2773,1
4395,0
3551,1
3722,1
6114,0
6453,0
5107,0
1822,1
4086,0
5180,0
6771,0
5272,0
6068,0
309,1
7789,0
3599,1
3622,1
6300,0
3450,1
205,1
1135,1
2749,1
3613,1
305,1
1849,1
7609,0
1988,1
3240,1
2798,1
5550,0
3109,1
4059,0
1987,1
5903,0
383,1
3388,1
7033,0
2727,1
8363,0
4528,0
6685,0
5792,0
3832,0
6719,0
4276,0
253,1
8091,0
5246,0
278,1
3252,1
2480,1
289,1
4385,0
3075,1
5817,0
5465,0
4618,0
5242,0
8251,0
6202,0
5002,0
5579,0
270,1
5659,0
7498,0
6323,0
6817,0
4207,0
3218,1
1391,1
3975,0
4316,0
4825,0
5281,0
7491,0
83,1
873,1
8116,0
5493,0
7361,0
8231,0
4977,0
2450,1
3954,0
2329,1
7347,0
5113,0
7926,0
7532,0
4781,0
5758,0
6220,0
1216,1
7120,0
5309,0
1064,1
3786,0
4870,0
6901,0
7092,0
3008,1
1105,1
5705,0
6466,0
6999,0
8402,0
4369,0
2765,1
3929,0
8442,0
6764,0
5410,0
4614,0
8028,0
2451,1
4500,0
4742,0
3824,0
2652,1
7325,0
3743,1
2176,1
7773,0
3318,1
4581,0
2787,1
4105,0
4590,0
1676,1
3947,0
6417,0
4800,0
5587,0
6545,0
2503,1
6341,0
2369,1
2217,1
2218,1
3326,1
8293,0
3583,1
6877,0
5889,0
7981,0
4638,0
6876,0
85,1
2801,1
3671,1
3667,1
8316,0
2019,1
5634,0
2525,1
5260,0
5491,0
6785,0
6476,0
4872,0
2895,1
6774,0
7492,0
3425,1
4994,0
6773,0
4779,0
4453,0
5221,0
2001,1
6558,0
869,1
356,1
8056,0
5540,0
1275,1
1890,1
4734,0
7450,0
3563,1
7067,0
2380,1
7594,0
6210,0
6199,0
3306,1
6797,0
3499,1
4803,0
1116,1
8059,0
6825,0
4832,0
5936,0
7442,0
3645,1
2500,1
4690,0
7778,0
3809,0
8348,0
7124,0
5620,0
1696,1
6386,0
2052,1
1776,1
4726,0
3313,1
6310,0
7020,0
1592,1
1723,1
6865,0
4567,0
5978,0
490,1
7364,0
3483,1
3431,1
4539,0
5546,0
25,1
7795,0
2409,1
3270,1
1552,1
7480,0
6568,0
3871,0
3402,1
979,1
2655,1
1847,1
8005,0
5960,0
5146,0
6526,0
6125,0
1102,1
3276,1
7499,0
6520,0
6110,0
3996,0
194,1
643,1
3285,1
3116,1
3575,1
7185,0
4320,0
8488,0
2207,1
8245,0
3718,1
972,1
719,1
7837,0
3896,0
2803,1
2566,1
4025,0
32,1
6900,0
4063,0
7072,0
1697,1
2792,1
2222,1
3764,1
3866,0
6643,0
7057,0
7686,0
5100,0
3758,1
7007,0
3227,1
5611,0
8409,0
3904,0
2277,1
4906,0
1401,1
739,1
4266,0
5364,0
7957,0
6590,0
7716,0
7213,0
8329,0
674,1
6816,0
4595,0
3841,0
1815,1
