,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,poutcome,deposit
63,52,blue-collar,divorced,primary,no,-191,yes,no,15,may,755,1,-1,unknown,yes
64,59,blue-collar,married,primary,no,320,yes,no,15,may,695,1,-1,unknown,yes
67,40,services,married,primary,no,-9,yes,no,15,may,920,2,-1,unknown,yes
68,41,admin.,married,primary,no,-306,yes,no,15,may,500,1,-1,unknown,yes
70,60,services,single,primary,no,313,yes,no,15,may,920,2,-1,unknown,yes
76,39,technician,married,tertiary,no,94,yes,yes,16,may,813,1,-1,unknown,yes
77,31,self-employed,single,tertiary,no,144,yes,no,16,may,676,1,-1,unknown,yes
79,31,blue-collar,married,secondary,no,92,yes,no,16,may,688,1,-1,unknown,yes
80,29,admin.,single,secondary,no,163,yes,yes,16,may,803,1,-1,unknown,yes
81,37,services,divorced,secondary,no,49,yes,no,16,may,619,2,-1,unknown,yes
82,33,blue-collar,single,secondary,no,-416,yes,no,16,may,767,2,-1,unknown,yes
83,24,technician,single,secondary,no,409,yes,no,16,may,912,1,-1,unknown,yes
85,27,technician,single,tertiary,no,3706,yes,no,16,may,897,1,-1,unknown,yes
90,41,admin.,single,secondary,no,1020,yes,no,19,may,882,1,-1,unknown,yes
91,47,blue-collar,married,secondary,no,863,yes,no,19,may,943,2,-1,unknown,yes
92,31,admin.,married,secondary,no,97,yes,no,19,may,607,1,-1,unknown,yes
93,31,blue-collar,married,secondary,no,754,yes,no,19,may,1022,4,-1,unknown,yes
94,43,services,divorced,secondary,no,1040,yes,no,19,may,552,3,-1,unknown,yes
96,30,technician,single,tertiary,no,880,yes,yes,19,may,967,6,-1,unknown,yes
97,41,technician,married,secondary,no,501,yes,no,19,may,579,5,-1,unknown,yes
102,31,blue-collar,married,secondary,no,2,yes,no,20,may,182,2,-1,unknown,yes
106,44,technician,divorced,secondary,no,982,yes,no,20,may,650,3,-1,unknown,yes
110,31,blue-collar,single,primary,no,216,yes,no,21,may,565,1,-1,unknown,yes
111,34,blue-collar,married,secondary,no,1207,yes,no,21,may,905,1,-1,unknown,yes
112,32,technician,married,secondary,no,791,yes,no,21,may,783,2,-1,unknown,yes
113,36,management,married,tertiary,no,849,yes,yes,21,may,958,2,-1,unknown,yes
114,30,blue-collar,single,secondary,yes,239,yes,no,21,may,412,1,-1,unknown,yes
115,37,technician,single,secondary,no,1211,yes,no,21,may,795,1,-1,unknown,yes
116,36,blue-collar,married,primary,no,599,yes,no,21,may,649,2,-1,unknown,yes
117,31,management,single,tertiary,no,825,yes,no,21,may,506,2,-1,unknown,yes
118,27,technician,married,secondary,no,2183,yes,yes,21,may,857,1,-1,unknown,yes
122,37,technician,single,secondary,no,3326,yes,no,21,may,799,1,-1,unknown,yes
123,32,blue-collar,married,secondary,no,783,yes,no,21,may,923,3,-1,unknown,yes
124,33,blue-collar,married,secondary,no,0,yes,no,21,may,521,3,-1,unknown,yes
126,35,self-employed,divorced,tertiary,no,1354,yes,no,23,may,736,2,-1,unknown,yes
127,30,blue-collar,single,secondary,no,239,yes,no,23,may,785,1,-1,unknown,yes
128,45,blue-collar,divorced,primary,no,-311,yes,no,23,may,1030,1,-1,unknown,yes
129,45,admin.,married,secondary,no,149,yes,no,23,may,893,3,-1,unknown,yes
130,33,blue-collar,married,secondary,no,1464,yes,no,23,may,588,3,-1,unknown,yes
132,40,blue-collar,married,primary,no,278,yes,no,23,may,1015,3,-1,unknown,yes
134,30,technician,married,tertiary,no,541,yes,no,26,may,414,2,-1,unknown,yes
136,34,services,married,secondary,no,-538,yes,no,26,may,682,1,-1,unknown,yes
137,37,blue-collar,married,secondary,no,125,no,no,26,may,679,2,-1,unknown,yes
140,37,blue-collar,divorced,secondary,no,316,yes,no,26,may,642,2,-1,unknown,yes
141,34,management,married,tertiary,no,2287,yes,no,26,may,895,4,-1,unknown,yes
142,38,admin.,divorced,secondary,no,198,yes,no,26,may,431,2,-1,unknown,yes
143,28,admin.,single,secondary,no,460,yes,no,26,may,741,6,-1,unknown,yes
145,59,services,married,secondary,no,-22,yes,no,26,may,748,3,-1,unknown,yes
146,24,blue-collar,married,secondary,no,685,yes,no,26,may,896,3,-1,unknown,yes
147,26,services,single,secondary,no,901,yes,no,26,may,764,2,-1,unknown,yes
150,37,admin.,married,secondary,no,274,yes,no,27,may,731,3,-1,unknown,yes
151,30,admin.,single,secondary,no,-213,yes,yes,27,may,751,1,-1,unknown,yes
152,25,blue-collar,married,secondary,no,97,yes,no,27,may,709,1,-1,unknown,yes
154,29,management,married,tertiary,no,314,no,no,28,may,938,2,-1,unknown,yes
156,26,technician,single,secondary,no,668,yes,no,28,may,576,3,-1,unknown,yes
157,27,services,single,secondary,no,54,yes,no,28,may,543,2,-1,unknown,yes
158,25,self-employed,single,secondary,no,1242,yes,no,28,may,615,2,-1,unknown,yes
159,28,management,married,secondary,no,292,yes,no,28,may,507,1,-1,unknown,yes
161,34,management,single,tertiary,no,1058,yes,no,28,may,864,2,-1,unknown,yes
164,35,blue-collar,married,secondary,no,0,yes,yes,29,may,543,1,-1,unknown,yes
165,35,admin.,married,secondary,no,404,yes,no,29,may,539,1,-1,unknown,yes
166,56,blue-collar,married,secondary,no,249,yes,no,29,may,791,2,-1,unknown,yes
167,45,unemployed,divorced,secondary,no,3354,yes,no,29,may,746,1,-1,unknown,yes
169,56,technician,married,secondary,no,589,yes,no,29,may,535,2,-1,unknown,yes
171,30,admin.,married,secondary,no,873,yes,no,29,may,792,3,-1,unknown,yes
172,45,blue-collar,divorced,primary,no,594,yes,no,29,may,833,2,-1,unknown,yes
173,29,blue-collar,single,secondary,no,-20,yes,no,29,may,814,2,-1,unknown,yes
176,44,blue-collar,single,primary,no,1593,yes,no,29,may,828,3,-1,unknown,yes
178,38,technician,married,secondary,no,226,yes,no,30,may,762,3,-1,unknown,yes
180,37,management,divorced,secondary,no,16,yes,no,30,may,638,1,-1,unknown,yes
181,35,management,single,tertiary,no,565,yes,no,30,may,763,1,-1,unknown,yes
182,38,admin.,divorced,secondary,no,19,yes,no,30,may,604,2,-1,unknown,yes
183,40,services,married,primary,no,1082,yes,no,30,may,854,2,-1,unknown,yes
184,42,unemployed,divorced,secondary,no,1713,yes,no,30,may,855,2,-1,unknown,yes
189,50,unemployed,married,secondary,no,3674,yes,no,30,may,886,3,-1,unknown,yes
193,46,management,single,tertiary,no,2904,yes,no,30,may,984,2,-1,unknown,yes
194,26,management,single,tertiary,no,1004,yes,no,30,may,228,2,-1,unknown,yes
195,45,technician,single,secondary,no,410,yes,no,30,may,891,4,-1,unknown,yes
200,39,management,married,tertiary,no,2763,yes,no,2,jun,526,2,-1,unknown,yes
201,36,services,married,secondary,no,2984,yes,no,2,jun,394,1,-1,unknown,yes
202,41,blue-collar,married,primary,no,143,yes,yes,2,jun,659,2,-1,unknown,yes
203,36,services,married,primary,no,0,yes,no,2,jun,1036,1,-1,unknown,yes
204,32,technician,married,secondary,no,696,yes,no,2,jun,815,1,-1,unknown,yes
205,35,services,married,secondary,no,152,yes,no,2,jun,563,1,-1,unknown,yes
207,35,management,married,tertiary,no,867,yes,no,2,jun,230,3,-1,unknown,yes
208,30,blue-collar,single,secondary,no,953,yes,no,2,jun,747,2,-1,unknown,yes
209,42,blue-collar,married,secondary,no,443,yes,no,2,jun,671,5,-1,unknown,yes
210,42,technician,single,secondary,yes,-1129,yes,no,2,jun,555,5,-1,unknown,yes
211,32,blue-collar,married,primary,no,415,yes,no,2,jun,777,4,-1,unknown,yes
213,44,management,divorced,tertiary,yes,-411,yes,no,2,jun,432,4,-1,unknown,yes
215,31,unemployed,married,secondary,no,86,yes,yes,3,jun,963,2,-1,unknown,yes
216,40,self-employed,married,secondary,yes,-754,yes,yes,3,jun,941,3,-1,unknown,yes
218,27,management,single,secondary,no,178,yes,no,3,jun,732,2,-1,unknown,yes
220,23,services,single,secondary,no,425,yes,no,3,jun,768,1,-1,unknown,yes
221,25,management,married,primary,no,168,yes,no,3,jun,801,1,-1,unknown,yes
222,26,blue-collar,single,secondary,yes,-36,yes,no,3,jun,482,2,-1,unknown,yes
226,45,management,divorced,secondary,no,644,yes,no,4,jun,633,1,-1,unknown,yes
228,29,services,single,secondary,no,-271,yes,no,4,jun,578,1,-1,unknown,yes
230,23,blue-collar,single,secondary,no,492,yes,no,4,jun,638,1,-1,unknown,yes
231,27,management,single,tertiary,no,99,yes,no,4,jun,767,2,-1,unknown,yes
232,27,management,single,tertiary,yes,-713,yes,no,4,jun,525,2,-1,unknown,yes
233,29,services,single,secondary,no,32,yes,no,4,jun,563,1,-1,unknown,yes
235,36,blue-collar,married,primary,no,403,yes,no,4,jun,920,1,-1,unknown,yes
236,35,admin.,divorced,secondary,no,437,yes,no,4,jun,908,1,-1,unknown,yes
237,36,blue-collar,married,secondary,no,1772,no,no,5,jun,208,1,-1,unknown,yes
238,59,retired,divorced,primary,no,-88,yes,no,5,jun,910,2,-1,unknown,yes
242,46,admin.,single,secondary,no,849,yes,no,5,jun,508,2,-1,unknown,yes
243,43,blue-collar,single,secondary,no,318,yes,no,5,jun,736,2,-1,unknown,yes
244,27,management,single,tertiary,no,703,yes,no,5,jun,590,3,-1,unknown,yes
245,38,services,divorced,secondary,no,61,no,no,5,jun,636,1,-1,unknown,yes
246,53,housemaid,married,primary,no,104,no,yes,5,jun,701,1,-1,unknown,yes
247,47,blue-collar,married,secondary,no,1996,no,no,5,jun,761,2,-1,unknown,yes
251,50,technician,married,secondary,no,416,yes,no,5,jun,494,5,-1,unknown,yes
252,45,blue-collar,divorced,primary,no,844,no,no,5,jun,1018,3,-1,unknown,yes
253,35,blue-collar,married,secondary,no,860,yes,no,5,jun,884,4,-1,unknown,yes
254,26,technician,single,secondary,no,639,yes,no,6,jun,709,5,-1,unknown,yes
258,38,management,single,tertiary,no,619,yes,no,6,jun,460,4,-1,unknown,yes
259,37,services,divorced,secondary,no,319,yes,no,6,jun,467,3,-1,unknown,yes
260,53,technician,married,secondary,no,480,no,no,6,jun,648,2,-1,unknown,yes
263,28,blue-collar,married,secondary,no,2788,yes,no,6,jun,369,2,-1,unknown,yes
266,50,services,married,secondary,no,1595,no,no,9,jun,882,1,-1,unknown,yes
267,43,management,single,tertiary,no,1046,no,no,9,jun,901,1,-1,unknown,yes
268,58,self-employed,divorced,tertiary,no,1382,no,no,9,jun,700,1,-1,unknown,yes
269,38,technician,married,primary,no,217,yes,no,9,jun,491,6,-1,unknown,yes
270,48,blue-collar,divorced,primary,no,183,no,no,9,jun,940,1,-1,unknown,yes
272,58,blue-collar,married,secondary,no,25,no,no,9,jun,486,3,-1,unknown,yes
275,41,admin.,single,secondary,no,812,no,yes,11,jun,583,4,-1,unknown,yes
278,57,housemaid,married,primary,no,625,no,yes,11,jun,867,1,-1,unknown,yes
281,56,blue-collar,married,secondary,no,1210,no,no,11,jun,935,1,-1,unknown,yes
282,49,management,married,tertiary,no,64,no,no,11,jun,586,1,-1,unknown,yes
284,36,unemployed,married,secondary,no,1766,no,no,11,jun,595,2,-1,unknown,yes
286,55,blue-collar,married,secondary,no,0,no,no,12,jun,614,2,-1,unknown,yes
287,58,admin.,married,secondary,no,826,no,no,12,jun,885,1,-1,unknown,yes
288,39,self-employed,married,tertiary,no,2630,no,no,12,jun,651,5,-1,unknown,yes
289,47,housemaid,single,tertiary,no,3727,no,no,12,jun,993,6,-1,unknown,yes
290,40,management,married,secondary,no,406,yes,no,12,jun,577,2,-1,unknown,yes
294,24,blue-collar,single,secondary,yes,-203,yes,no,12,jun,465,3,-1,unknown,yes
295,49,blue-collar,married,primary,no,361,yes,no,16,jun,513,2,-1,unknown,yes
297,52,retired,divorced,tertiary,no,3687,yes,yes,16,jun,741,4,-1,unknown,yes
303,51,blue-collar,married,secondary,no,33,no,yes,16,jun,721,3,-1,unknown,yes
304,46,technician,married,secondary,no,536,yes,no,16,jun,750,2,-1,unknown,yes
305,37,management,married,tertiary,no,0,no,no,16,jun,637,6,-1,unknown,yes
307,47,management,married,secondary,no,2892,no,no,17,jun,556,1,-1,unknown,yes
308,40,technician,divorced,tertiary,no,0,no,no,17,jun,522,1,-1,unknown,yes
310,40,management,married,secondary,no,106,no,no,17,jun,676,2,-1,unknown,yes
311,39,blue-collar,married,primary,no,2303,yes,no,17,jun,775,3,-1,unknown,yes
313,39,self-employed,single,tertiary,no,426,no,no,18,jun,1029,1,-1,unknown,yes
314,51,services,divorced,secondary,no,9,no,no,18,jun,371,2,-1,unknown,yes
318,41,entrepreneur,married,secondary,no,707,no,no,18,jun,707,1,-1,unknown,yes
319,33,technician,married,secondary,no,4,yes,yes,18,jun,625,2,-1,unknown,yes
321,31,blue-collar,married,secondary,no,671,yes,no,18,jun,704,4,-1,unknown,yes
324,55,retired,divorced,secondary,no,1580,no,yes,19,jun,1007,1,-1,unknown,yes
326,55,housemaid,married,primary,no,2152,no,no,19,jun,922,2,-1,unknown,yes
327,39,services,married,secondary,no,2843,yes,no,19,jun,585,1,-1,unknown,yes
328,40,entrepreneur,married,tertiary,yes,0,no,no,19,jun,952,4,-1,unknown,yes
329,59,retired,married,primary,no,1115,no,no,19,jun,834,1,-1,unknown,yes
330,42,blue-collar,single,secondary,no,625,no,no,19,jun,651,3,-1,unknown,yes
331,41,blue-collar,married,primary,no,246,no,no,19,jun,683,3,-1,unknown,yes
332,27,blue-collar,married,secondary,no,61,yes,no,19,jun,1012,1,-1,unknown,yes
334,43,unemployed,married,primary,no,519,no,no,20,jun,973,2,-1,unknown,yes
335,44,services,married,secondary,no,522,no,yes,20,jun,911,1,-1,unknown,yes
339,56,management,married,tertiary,no,0,no,yes,20,jun,422,1,-1,unknown,yes
342,47,technician,married,tertiary,no,1694,no,yes,20,jun,560,3,-1,unknown,yes
344,40,blue-collar,married,secondary,no,188,yes,yes,20,jun,570,2,-1,unknown,yes
345,46,services,divorced,secondary,no,0,no,no,20,jun,1023,3,-1,unknown,yes
346,43,blue-collar,single,secondary,no,740,yes,no,20,jun,585,2,-1,unknown,yes
347,45,management,married,tertiary,no,655,no,no,20,jun,693,3,-1,unknown,yes
349,40,blue-collar,married,secondary,no,1009,yes,yes,20,jun,1036,5,-1,unknown,yes
352,27,blue-collar,single,secondary,yes,-27,no,no,23,jun,498,2,-1,unknown,yes
353,26,admin.,single,primary,no,-122,yes,no,23,jun,670,3,-1,unknown,yes
354,43,management,married,tertiary,no,149,yes,no,23,jun,662,2,-1,unknown,yes
355,25,blue-collar,single,primary,no,52,yes,no,24,jun,528,2,-1,unknown,yes
356,27,blue-collar,married,tertiary,no,335,yes,no,26,jun,519,3,-1,unknown,yes
357,30,technician,married,tertiary,no,526,yes,yes,26,jun,677,3,-1,unknown,yes
359,27,blue-collar,married,primary,no,-413,no,yes,27,jun,422,6,-1,unknown,yes
360,32,admin.,divorced,secondary,no,-241,no,yes,27,jun,856,2,-1,unknown,yes
363,27,technician,single,secondary,no,158,no,no,1,jul,650,2,-1,unknown,yes
364,29,services,single,secondary,no,84,no,yes,3,jul,587,3,-1,unknown,yes
365,33,services,married,secondary,no,114,no,yes,3,jul,676,1,-1,unknown,yes
366,36,technician,married,primary,no,0,no,no,4,jul,584,1,-1,unknown,yes
368,55,blue-collar,married,secondary,no,49,yes,no,7,jul,494,4,-1,unknown,yes
369,51,technician,married,secondary,no,216,no,no,7,jul,615,2,-1,unknown,yes
370,39,technician,single,secondary,no,506,yes,no,7,jul,718,2,-1,unknown,yes
371,42,blue-collar,divorced,primary,no,213,yes,no,7,jul,434,3,-1,unknown,yes
372,33,services,single,secondary,no,170,no,no,7,jul,782,1,-1,unknown,yes
373,36,entrepreneur,divorced,tertiary,no,776,no,yes,7,jul,722,3,-1,unknown,yes
374,45,technician,married,secondary,no,879,no,no,7,jul,621,2,-1,unknown,yes
375,37,self-employed,married,secondary,no,1633,no,no,7,jul,629,2,-1,unknown,yes
376,46,unemployed,married,secondary,no,926,no,no,7,jul,385,5,-1,unknown,yes
377,32,self-employed,single,tertiary,no,2559,no,no,7,jul,889,1,-1,unknown,yes
378,28,technician,single,secondary,no,909,no,yes,7,jul,532,1,-1,unknown,yes
379,45,admin.,divorced,secondary,no,-176,no,yes,7,jul,574,1,-1,unknown,yes
380,41,blue-collar,single,secondary,yes,1085,yes,yes,7,jul,599,1,-1,unknown,yes
381,59,blue-collar,divorced,primary,no,1265,no,yes,7,jul,849,1,-1,unknown,yes
382,47,technician,single,secondary,no,-239,yes,yes,7,jul,973,3,-1,unknown,yes
383,31,blue-collar,single,secondary,no,726,no,no,7,jul,719,2,-1,unknown,yes
384,31,management,single,tertiary,no,296,no,yes,8,jul,509,4,-1,unknown,yes
385,33,entrepreneur,married,secondary,no,-627,yes,yes,8,jul,740,1,-1,unknown,yes
386,52,entrepreneur,married,tertiary,yes,-468,no,no,8,jul,534,1,-1,unknown,yes
387,26,self-employed,single,secondary,no,551,no,no,8,jul,531,1,-1,unknown,yes
388,25,technician,single,secondary,no,0,no,yes,8,jul,634,1,-1,unknown,yes
389,25,blue-collar,married,secondary,no,101,no,yes,8,jul,460,3,-1,unknown,yes
390,28,blue-collar,single,secondary,no,517,no,yes,8,jul,681,1,-1,unknown,yes
392,45,management,divorced,tertiary,no,854,no,yes,8,jul,730,1,-1,unknown,yes
393,36,services,married,secondary,no,30,no,yes,8,jul,716,5,-1,unknown,yes
394,26,blue-collar,single,secondary,yes,81,no,yes,8,jul,803,2,-1,unknown,yes
395,38,technician,married,secondary,no,0,no,no,8,jul,635,1,-1,unknown,yes
396,56,blue-collar,single,secondary,no,663,no,yes,8,jul,819,3,-1,unknown,yes
397,26,admin.,single,secondary,no,102,no,yes,8,jul,658,2,-1,unknown,yes
399,25,blue-collar,single,secondary,no,189,no,yes,8,jul,687,2,-1,unknown,yes
400,26,unemployed,single,secondary,no,111,no,no,9,jul,537,1,-1,unknown,yes
401,40,blue-collar,married,primary,no,665,yes,no,9,jul,781,1,-1,unknown,yes
402,37,admin.,married,primary,no,214,yes,no,9,jul,645,1,-1,unknown,yes
404,41,services,divorced,tertiary,no,1583,yes,no,9,jul,662,1,-1,unknown,yes
405,49,blue-collar,married,secondary,no,0,no,yes,9,jul,625,1,-1,unknown,yes
406,29,admin.,divorced,tertiary,yes,0,no,yes,9,jul,426,3,-1,unknown,yes
407,39,services,divorced,secondary,no,687,yes,no,9,jul,869,1,-1,unknown,yes
408,38,management,married,tertiary,yes,327,yes,yes,9,jul,556,5,-1,unknown,yes
409,26,technician,married,secondary,no,-119,no,yes,9,jul,359,5,-1,unknown,yes
410,32,management,married,tertiary,no,794,yes,yes,9,jul,1014,1,-1,unknown,yes
412,31,management,single,tertiary,no,409,no,yes,9,jul,564,5,-1,unknown,yes
414,27,unemployed,single,primary,no,9,no,yes,9,jul,919,2,-1,unknown,yes
416,35,blue-collar,married,secondary,no,1330,no,no,10,jul,901,1,-1,unknown,yes
417,26,blue-collar,single,secondary,no,-29,yes,no,10,jul,998,4,-1,unknown,yes
419,34,admin.,married,secondary,no,-33,yes,yes,10,jul,961,1,-1,unknown,yes
420,28,admin.,single,secondary,no,-170,no,yes,10,jul,720,2,-1,unknown,yes
422,30,blue-collar,single,secondary,no,1598,yes,no,10,jul,634,1,-1,unknown,yes
423,30,services,married,secondary,no,5,no,yes,10,jul,829,5,-1,unknown,yes
424,47,services,married,secondary,no,367,yes,no,10,jul,476,4,-1,unknown,yes
425,57,admin.,divorced,secondary,no,658,no,no,10,jul,724,1,-1,unknown,yes
426,38,management,married,tertiary,no,1722,yes,no,10,jul,500,1,-1,unknown,yes
431,31,student,married,primary,no,46,yes,no,10,jul,487,1,-1,unknown,yes
434,60,retired,divorced,secondary,no,1099,no,no,11,jul,764,2,-1,unknown,yes
436,29,management,single,tertiary,no,983,yes,no,11,jul,963,2,-1,unknown,yes
438,44,admin.,married,secondary,no,1074,yes,no,11,jul,911,2,-1,unknown,yes
439,47,technician,married,secondary,no,3466,yes,no,11,jul,853,2,-1,unknown,yes
442,38,technician,married,secondary,no,976,yes,no,14,jul,766,3,-1,unknown,yes
443,34,entrepreneur,married,tertiary,no,146,yes,no,14,jul,788,2,-1,unknown,yes
448,31,technician,married,secondary,no,1173,yes,no,14,jul,444,3,-1,unknown,yes
450,59,management,married,tertiary,no,296,no,yes,15,jul,805,3,-1,unknown,yes
452,58,management,married,tertiary,no,3864,yes,no,15,jul,815,4,-1,unknown,yes
453,30,entrepreneur,married,primary,no,2686,yes,no,15,jul,808,3,-1,unknown,yes
454,34,blue-collar,single,primary,no,-109,yes,no,15,jul,860,4,-1,unknown,yes
455,51,services,divorced,secondary,no,65,no,yes,15,jul,881,1,-1,unknown,yes
456,60,retired,married,secondary,no,597,no,no,15,jul,981,1,-1,unknown,yes
457,51,entrepreneur,married,secondary,no,-799,no,yes,15,jul,1001,3,-1,unknown,yes
458,37,management,divorced,tertiary,no,1775,no,no,15,jul,514,5,-1,unknown,yes
459,30,blue-collar,single,primary,no,0,no,no,15,jul,716,3,-1,unknown,yes
460,46,entrepreneur,divorced,secondary,no,-563,no,yes,15,jul,769,4,-1,unknown,yes
461,29,student,single,tertiary,no,5,no,no,15,jul,889,5,-1,unknown,yes
462,27,entrepreneur,married,tertiary,no,139,no,no,15,jul,448,5,-1,unknown,yes
463,28,management,single,tertiary,no,0,yes,no,16,jul,767,5,-1,unknown,yes
464,34,blue-collar,single,secondary,no,855,yes,no,16,jul,578,1,-1,unknown,yes
466,27,management,single,tertiary,no,151,yes,no,16,jul,496,1,-1,unknown,yes
467,26,technician,single,secondary,no,354,no,no,16,jul,586,1,-1,unknown,yes
468,36,management,married,tertiary,no,673,yes,no,16,jul,689,1,-1,unknown,yes
469,44,blue-collar,married,primary,no,1265,yes,no,16,jul,555,1,-1,unknown,yes
470,39,blue-collar,married,tertiary,no,597,no,no,16,jul,686,6,-1,unknown,yes
471,30,technician,married,secondary,no,-393,yes,yes,16,jul,435,1,-1,unknown,yes
472,31,unemployed,divorced,tertiary,no,256,yes,no,16,jul,873,2,-1,unknown,yes
474,29,blue-collar,married,secondary,no,2870,yes,no,16,jul,988,1,-1,unknown,yes
476,32,blue-collar,married,secondary,no,1905,yes,no,16,jul,709,2,-1,unknown,yes
478,40,blue-collar,married,secondary,no,-839,yes,yes,16,jul,1018,2,-1,unknown,yes
479,42,services,married,secondary,no,3465,yes,yes,16,jul,1039,2,-1,unknown,yes
480,27,student,married,secondary,no,119,yes,no,16,jul,781,2,-1,unknown,yes
482,35,housemaid,married,primary,no,113,yes,no,17,jul,923,2,-1,unknown,yes
484,39,technician,married,secondary,no,251,yes,no,17,jul,342,2,-1,unknown,yes
485,31,blue-collar,divorced,secondary,no,-277,yes,no,17,jul,1008,2,-1,unknown,yes
486,26,services,single,secondary,no,-189,no,yes,17,jul,538,2,-1,unknown,yes
487,42,management,married,tertiary,no,4,yes,no,17,jul,795,1,-1,unknown,yes
488,27,services,single,secondary,no,1820,yes,no,17,jul,1027,1,-1,unknown,yes
490,51,blue-collar,married,primary,no,201,yes,no,17,jul,582,2,-1,unknown,yes
492,30,technician,single,tertiary,no,178,no,no,17,jul,656,3,-1,unknown,yes
495,31,management,divorced,tertiary,no,294,yes,no,17,jul,536,5,-1,unknown,yes
496,27,services,married,secondary,no,0,yes,no,17,jul,991,5,-1,unknown,yes
498,40,entrepreneur,divorced,secondary,no,2998,yes,no,18,jul,623,3,-1,unknown,yes
500,32,services,divorced,secondary,no,454,yes,no,18,jul,978,1,-1,unknown,yes
501,56,technician,divorced,secondary,no,179,no,no,18,jul,536,1,-1,unknown,yes
502,33,blue-collar,married,secondary,no,661,yes,no,18,jul,968,1,-1,unknown,yes
503,33,blue-collar,married,secondary,no,89,yes,no,18,jul,278,2,-1,unknown,yes
504,32,self-employed,married,primary,no,102,yes,no,18,jul,560,1,-1,unknown,yes
505,41,blue-collar,divorced,primary,no,138,yes,no,18,jul,640,3,-1,unknown,yes
506,31,admin.,single,secondary,no,622,no,no,18,jul,420,1,-1,unknown,yes
507,30,admin.,divorced,secondary,no,10,yes,no,18,jul,658,2,-1,unknown,yes
508,34,admin.,divorced,secondary,no,-251,no,no,18,jul,641,1,-1,unknown,yes
509,43,entrepreneur,married,secondary,no,104,yes,no,18,jul,635,3,-1,unknown,yes
512,31,blue-collar,divorced,secondary,no,0,yes,yes,18,jul,913,4,-1,unknown,yes
